Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net
"April 8, 2019",Transaction,"Grey&#39;s anatomy quote,quote print,inspirational quotes,wall decor,dorm decor,positive quote wall art,printable art, bedroom decor,typography","transaction: 1612500895",USD,--,-$0.21,-$0.21
"April 8, 2019",Sale,"Payment for Order 1437337876",payment,USD,$4.15,-$0.37,$3.78
"April 8, 2019",Listing,"Grey&#39;s anatomy quote,quote print,inspirational quotes,wall decor,dorm decor,positive quote wall art,printable art, bedroom decor,typography","listing: 549089875",USD,--,-$0.20,-$0.20
"April 8, 2019",Transaction,"Grey&#39;s anatomy quote,quote print,inspirational quotes,wall decor,dorm decor,positive quote wall art,printable art, bedroom decor,typography","transaction: 1609472256",USD,--,-$0.21,-$0.21
"April 8, 2019",Sale,"Payment for Order 1446120669",payment,USD,$4.15,-$0.37,$3.78
"April 8, 2019",Listing,"Grey&#39;s anatomy quote,quote print,inspirational quotes,wall decor,dorm decor,positive quote wall art,printable art, bedroom decor,typography","listing: 549089875",USD,--,-$0.20,-$0.20
"April 8, 2019",Deposit,"$5.08 sent to your bank account",,USD,--,--,--
"April 7, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 6, 2019",USD,--,-$0.67,-$0.67
"April 6, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 5, 2019",USD,--,-$1.00,-$1.00
"April 5, 2019",Transaction,"Grey&#39;s anatomy quote,quote print,inspirational quotes,wall decor,dorm decor,positive quote wall art,printable art, bedroom decor,typography","transaction: 1607961526",USD,--,-$0.21,-$0.21
"April 5, 2019",Sale,"Payment for Order 1436204150",payment,USD,$4.15,-$0.37,$3.78
"April 5, 2019",Listing,"Grey&#39;s anatomy quote,quote print,inspirational quotes,wall decor,dorm decor,positive quote wall art,printable art, bedroom decor,typography","listing: 549089875",USD,--,-$0.20,-$0.20
"April 5, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 4, 2019",USD,--,-$0.73,-$0.73
"April 4, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 3, 2019",USD,--,-$0.74,-$0.74
"April 4, 2019",Transaction,"Custom Bible Verse Print, Custom Scripture Custom Quote Print, Watercolor floral Personalized text Printable Custom Wall Art print quote","transaction: 1607042120",USD,--,-$0.21,-$0.21
"April 4, 2019",Transaction,"Custom Bible Verse Print, Custom Scripture Custom Quote Print, Watercolor floral wreath Personalized text Printable Custom Wall Art print","transaction: 1609994919",USD,--,-$0.21,-$0.21
"April 4, 2019",Sale,"Payment for Order 1444348045",payment,USD,$8.30,-$0.50,$7.80
"April 4, 2019",Listing,"Custom Bible Verse Print, Custom Scripture Custom Quote Print, Watercolor floral Personalized text Printable Custom Wall Art print quote","listing: 626519595",USD,--,-$0.20,-$0.20
"April 4, 2019",Listing,"Custom Bible Verse Print, Custom Scripture Custom Quote Print, Watercolor floral wreath Personalized text Printable Custom Wall Art print","listing: 612680186",USD,--,-$0.20,-$0.20
"April 3, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 2, 2019",USD,--,-$0.65,-$0.65
"April 2, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 1, 2019",USD,--,-$0.50,-$0.50
"April 1, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Mar 31, 2019",USD,--,-$0.98,-$0.98
"April 1, 2019",Deposit,"$4.14 sent to your bank account",,USD,--,--,--
